_debug,_prepare,_run,_timeout,_trialId,acc,accuracy,auto_log,average_response_time,avg_rt,background,bidi,cal_beep,cal_target_size,canvas_backend,cols,column_order,compensation,cond,coordinates,correct,correct_feedback,correct_keyboard_wait,correct_response,count_CHANGELOG,count_Instructions,count_block_loop,count_collect_response,count_correct_feedback,count_dual_instruction_EN,count_dual_instruction_NL,count_dual_response_feedback,count_end_of_experiment_EN,count_end_of_experiment_NL,count_end_of_practice_EN,count_end_of_practice_NL,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_log,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_feedback_count_response,count_form_base,count_get_count_response,count_incorrect_feedback,count_init,count_init_trial,count_keyboard_wait,count_practice_loop,count_response,count_response_question,count_single_feedback,count_single_instruction_EN,count_single_instruction_NL,count_sketchpad,count_suppress_warnings,count_timeout_feedback,count_trial_sequence,custom_cursor,cycles,description,digitCount,duration,expyriment_opengl,eye_used,file,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,form_question,form_text,form_title,form_var,height,img,imgNr,item,keyboard_backend,lang,log_msg,mode,mouse_backend,nGap,nSacc,n_blink,note,offset,ok_text,only_render,order,outlier,practice,press_key,render_only,repeat,repeat_cycle,reset_variables,resp,response,response_correct_feedback,response_feedback_count_response,response_incorrect_feedback,response_keyboard_wait,response_time,response_time_correct_feedback,response_time_feedback_count_response,response_time_incorrect_feedback,response_time_keyboard_wait,response_time_timeout_feedback,response_timeout_feedback,rows,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,scene,sceneNr,search_rt,skip,sound_freq,sound_sample_size,srcFolder,start,start_response_interval,subject_nr,subject_parity,synth_backend,targetDigit,throttle,time_CHANGELOG,time_Instructions,time_block_loop,time_collect_response,time_correct_feedback,time_dual_instruction_EN,time_dual_instruction_NL,time_dual_response_feedback,time_end_of_experiment_EN,time_end_of_experiment_NL,time_end_of_practice_EN,time_end_of_practice_NL,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_log,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback_count_response,time_form_base,time_get_count_response,time_incorrect_feedback,time_init,time_init_trial,time_keyboard_wait,time_practice_loop,time_single_feedback,time_single_instruction_EN,time_single_instruction_NL,time_sketchpad,time_suppress_warnings,time_timeout_feedback,time_trial_sequence,timeout,timeout_feedback,title,tracker_attached,transparent_variables,trialCount,trialId,trialType,voiceInterval,width,xTarget,xpos,yTarget,ypos
no,NA,NA,20000,10,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,m,0,0,0,10,2,10,10,10,0,0,0,0,0,0,10,10,10,10,You,1,0,10,0,0,10,12,0,,How,10,10,10,10,0,4,10,no,NA,Message,1,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,146,NA,legacy,english,NA,NA,xpyriment,0,45,0,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,m,m,m,space,2432,2432,3501,23767,1429,1402,m,NA,14214,NA,NA,legacy,146.0,146,11663,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,4,2,NA,11956254,NA,NA,12510068,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12460113,12512500,12498170,12457763,12233945,10557813,12229782,12106631,NA,NA,12458684,NA,NA,12458512,NA,12498296,NA,12456012,NA,NA,Too,P0010.4,NA,no,200,10,control,1500,1280,916,NA,26,NA
no,NA,NA,20000,11,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,m,0,0,0,11,2,11,11,11,0,0,0,0,0,0,11,11,11,11,You,1,0,11,0,0,11,13,0,,How,11,11,11,11,0,5,11,no,NA,Message,0,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,94,NA,legacy,english,NA,NA,xpyriment,0,77,2,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,m,m,m,z,3526,2432,3501,23767,892,3526,m,NA,23641,NA,NA,legacy,94.0,94,20001,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,1,2,NA,11956254,NA,NA,12510068,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12514651,12552002,12528247,12512849,12233945,10557813,12229782,12106631,NA,NA,12513759,NA,NA,12513591,NA,12528371,NA,12548476,NA,NA,Too,P0010.4,NA,no,200,11,control,1500,1280,792,NA,153,NA
no,NA,NA,20000,12,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,12,2,12,12,12,0,0,0,0,0,0,12,12,12,12,You,1,0,12,0,0,12,14,0,,How,12,12,12,12,0,6,12,no,NA,Message,3,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,164,NA,legacy,english,NA,NA,xpyriment,0,78,1,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,m,m,m,space,1803,2432,3501,23767,1665,1803,m,NA,21918,NA,NA,legacy,164.0,164,20001,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,1,2,NA,11956254,NA,NA,12510068,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12554935,12617410,12595377,12552351,12233945,10557813,12229782,12106631,NA,NA,12553269,NA,NA,12553100,NA,12595502,NA,12615607,NA,NA,Too,P0010.4,NA,no,200,12,control,1500,1280,35,NA,42,NA
no,NA,NA,20000,13,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,1,m,0,0,0,13,3,13,13,13,0,0,0,0,0,0,13,13,13,13,You,1,0,13,0,0,13,15,0,,How,13,13,13,13,0,6,13,no,NA,Message,0,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,123,NA,legacy,english,NA,NA,xpyriment,0,44,1,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,m,1625,1625,3501,23767,2954,1803,m,NA,12172,NA,NA,legacy,123.0,123,10403,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,3,2,NA,11956254,NA,NA,12647069,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12621635,12648695,12636397,12617759,12233945,10557813,12229782,12106631,NA,NA,12618680,NA,NA,12618488,NA,12636532,NA,12615607,NA,NA,Too,P0010.4,NA,no,200,13,control,1500,1280,124,NA,576,NA
no,NA,NA,20000,14,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,14,4,14,14,14,0,0,0,0,0,0,14,14,14,14,You,1,0,14,0,0,14,16,0,,How,14,14,14,14,0,6,14,no,NA,Message,0,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,56,NA,legacy,english,NA,NA,xpyriment,0,15,3,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,m,3125,3125,3501,23767,653,1803,m,NA,5020,NA,NA,legacy,56.0,56,1766,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,4,2,NA,11956254,NA,NA,12659376,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12650611,12662501,12657359,12649044,12233945,10557813,12229782,12106631,NA,NA,12649958,NA,NA,12649775,NA,12657490,NA,12615607,NA,NA,Too,P0010.4,NA,no,200,14,control,1500,1280,833,NA,467,NA
no,NA,NA,20000,15,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,m,0,0,0,15,5,15,15,15,0,0,0,0,0,0,15,15,15,15,You,1,0,15,0,0,15,17,0,,How,15,15,15,15,0,6,15,no,NA,Message,0,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,188,NA,legacy,english,NA,NA,xpyriment,0,19,2,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,space,3249,3249,3501,23767,1823,1803,m,NA,5529,NA,NA,legacy,188.0,188,2157,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,2,2,NA,11956254,NA,NA,12765934,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12665591,12769183,12763534,12662850,12233945,10557813,12229782,12106631,NA,NA,12663768,NA,NA,12663595,NA,12763664,NA,12615607,NA,NA,Too,P0010.4,NA,no,200,15,control,1500,1280,542,NA,564,NA
no,NA,NA,20000,16,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,16,6,16,16,16,0,0,0,0,0,0,16,16,16,16,You,1,0,16,0,0,16,18,0,,How,16,16,16,16,0,6,16,no,NA,Message,2,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,171,NA,legacy,english,NA,NA,xpyriment,0,50,0,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,m,2035,2035,3501,23767,1087,1803,m,NA,12565,NA,NA,legacy,171.0,171,10405,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,5,2,NA,11956254,NA,NA,12784120,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12771530,12786156,12773468,12769532,12233945,10557813,12229782,12106631,NA,NA,12770443,NA,NA,12770277,NA,12773599,NA,12615607,NA,NA,Too,P0010.4,NA,no,200,16,control,1500,1280,463,NA,485,NA
no,NA,NA,20000,17,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,1,m,0,0,0,17,7,17,17,17,0,0,0,0,0,0,17,17,17,17,You,1,0,17,0,0,17,19,0,,How,17,17,17,17,0,6,17,no,NA,Message,0,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,125,NA,legacy,english,NA,NA,xpyriment,0,15,0,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,m,947,947,3501,23767,1232,1803,m,NA,3894,NA,NA,legacy,125.0,125,2829,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,4,2,NA,11956254,NA,NA,12793187,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12788659,12794135,12790127,12786505,12233945,10557813,12229782,12106631,NA,NA,12787427,NA,NA,12787248,NA,12790249,NA,12615607,NA,NA,Too,P0010.4,NA,no,200,17,control,1500,1280,1151,NA,540,NA
no,NA,NA,20000,18,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,1,m,0,0,0,18,8,18,18,18,0,0,0,0,0,0,18,18,18,18,You,1,0,18,0,0,18,20,0,,How,18,18,18,18,0,6,18,no,NA,Message,1,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,178,NA,legacy,english,NA,NA,xpyriment,0,39,0,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,space,space,m,m,m,1678,1678,3501,23767,665,1803,m,NA,10221,NA,NA,legacy,178.0,178,8413,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,2,2,NA,11956254,NA,NA,12810171,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12796091,12811850,12801508,12794483,12233945,10557813,12229782,12106631,NA,NA,12795425,NA,NA,12795252,NA,12801637,NA,12615607,NA,NA,Too,P0010.4,NA,no,200,18,control,1500,1280,218,NA,557,NA
no,NA,NA,20000,19,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,19,8,19,19,19,0,0,0,0,0,0,19,19,19,19,You,1,0,19,0,0,19,21,0,,How,19,19,19,19,0,7,19,no,NA,Message,2,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,122,NA,legacy,english,NA,NA,xpyriment,0,76,1,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,space,m,m,m,1280,1678,3501,23767,932,1280,m,NA,21395,NA,NA,legacy,122.0,122,20000,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,4,2,NA,11956254,NA,NA,12810171,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12814041,12848239,12826724,12812199,12233945,10557813,12229782,12106631,NA,NA,12813109,NA,NA,12812941,NA,12826853,NA,12846959,NA,NA,Too,P0010.4,NA,no,200,19,control,1500,1280,252,NA,781,NA
no,NA,NA,20000,20,undefined,undefined,yes,undefined,undefined,#222222,no,NA,NA,xpyriment,NA,NA,0,single,relative,INCORRECT,You,0,z,0,0,0,20,8,20,20,20,0,0,0,0,0,0,20,20,20,20,You,1,0,20,0,0,20,22,0,,How,20,20,20,20,0,8,20,no,NA,Message,2,NA,yes,undefined,PP02.asc,NA,NA,no,sans,no,24,NA,white,NA,NA,NA,NA,1024,C:/Documents,199,NA,legacy,english,NA,NA,xpyriment,0,80,0,NA,NA,NA,NA,NA,0,no,Press,NA,NA,0,NA,response,m,space,m,m,m,1728,1678,3501,23767,931,1728,m,NA,21843,NA,NA,legacy,199.0,199,20001,NA,44100,-16,resources/stimuli,experiment,None,2,even,legacy,5,2,NA,11956254,NA,NA,12810171,12203335,NA,NA,NA,NA,12238356,NA,NA,10559992,12850429,12874771,12852816,12848588,12233945,10557813,12229782,12106631,NA,NA,12849497,NA,NA,12849316,NA,12852938,NA,12873043,NA,NA,Too,P0010.4,NA,no,200,20,control,1500,1280,679,NA,413,NA
